Variable,Value
"x_p[(d3,o32),(d5,o33)]",-0.0
"x_p[(d7,o24),(d4,o28)]",0.0
"x_p[(d7,o20),(d2,o20)]",-0.0
"x_p[(d7,o38),(d6,o35)]",-0.0
"x_p[(d4,o3),(d5,o2)]",-0.0
"x_p[(d3,o24),(d7,o26)]",-0.0
"x_p[(d2,o45),(d1,o35)]",-0.0
"x_p[(d3,o45),(d4,o38)]",-0.0
"x_p[(d5,o46),(d3,o39)]",-0.0
"x_p[(d3,o2),(d5,o4)]",-0.0
"x_p[(d6,o37),(d1,o31)]",-0.0
"x_p[(d7,o27),(d5,o32)]",-0.0
"x_p[(d7,o5),(d3,o1)]",-0.0
"x_p[(d7,o11),(d5,o7)]",-0.0
"x_p[(d3,o21),(d4,o24)]",-0.0
"x_p[(d6,o47),(d6,o52)]",-0.0
"x_p[(d6,o10),(d1,o3)]",-0.0
"x_p[(d6,o45),(d7,o44)]",-0.0
"x_p[(d6,o5),(d1,o15)]",-0.0
"x_p[(d4,o44),(d5,o50)]",-0.0
"x_p[(d7,o15),(d7,o10)]",-0.0
"x_p[(d4,o7),(d2,o8)]",-0.0
"x_p[(d2,o37),(d1,o28)]",-0.0
"x_p[(d3,o42),(d5,o51)]",-0.0
"x_p[(d7,o24),(d6,o31)]",-0.0
"x_p[(d4,o27),(d5,o24)]",-0.0
"x_p[(d2,o34),(d3,o32)]",-0.0
"x_p[(d1,o42),(d6,o36)]",-0.0
"x_p[(d7,o8),(d1,o14)]",-0.0
"x_p[(d6,o36),(d1,o35)]",-0.0
"x_p[(d1,o46),(d7,o36)]",-0.0
"x_p[(d4,o28),(d7,o26)]",-0.0
"x_p[(d2,o31),(d6,o22)]",-0.0
"x_p[(d1,o39),(d2,o35)]",-0.0
"x_p[(d1,o14),(d6,o9)]",-0.0
"x_p[(d5,o9),(d3,o3)]",-0.0
"x_p[(d3,o15),(d6,o15)]",-0.0
"x_p[(d5,o31),(d6,o28)]",-0.0
"x_p[(d5,o16),(d7,o15)]",-0.0
"x_p[(d3,o35),(d4,o28)]",-0.0
"x_p[(d2,o5),(d4,o10)]",-0.0
"x_p[(d4,o24),(d3,o32)]",-0.0
"x_p[(d1,o5),(d4,o9)]",-0.0
"x_p[(d4,o4),(d3,o9)]",-0.0
"x_p[(d4,o6),(d1,o12)]",-0.0
"x_p[(d2,o49),(d7,o45)]",-0.0
"x_p[(d1,o24),(d3,o22)]",-0.0
"x_p[(d1,o17),(d1,o22)]",-0.0
"x_p[(d3,o21),(d4,o21)]",-0.0
"x_p[(d1,o14),(d5,o19)]",-0.0
"x_p[(d6,o32),(d4,o29)]",-0.0
"x_p[(d7,o50),(d6,o45)]",-0.0
"x_p[(d1,o5),(d5,o7)]",-0.0
"x_p[(d7,o29),(d6,o23)]",-0.0
"x_p[(d3,o34),(d4,o41)]",-0.0
"x_p[(d4,o41),(d6,o41)]",-0.0
"x_p[(d4,o14),(d3,o5)]",-0.0
"x_p[(d3,o34),(d3,o28)]",-0.0
"x_p[(d5,o7),(d2,o11)]",0.0
"x_p[(d7,o31),(d2,o30)]",-0.0
"x_p[(d3,o35),(d6,o31)]",-0.0
"x_p[(d1,o41),(d3,o39)]",-0.0
"x_p[(d6,o43),(d1,o48)]",-0.0
"x_p[(d2,o47),(d4,o47)]",-0.0
"x_p[(d7,o29),(d2,o37)]",-0.0
"x_p[(d7,o50),(d5,o45)]",-0.0
"x_p[(d5,o20),(d5,o11)]",-0.0
"x_p[(d4,o21),(d6,o22)]",-0.0
"x_p[(d7,o47),(d6,o41)]",-0.0
"x_p[(d5,o16),(d2,o21)]",-0.0
"x_p[(d7,o12),(d1,o8)]",-0.0
"x_p[(d4,o47),(d3,o46)]",-0.0
"x_p[(d7,o52),(d4,o42)]",-0.0
"x_p[(d7,o11),(d3,o4)]",-0.0
"x_p[(d6,o8),(d3,o13)]",-0.0
"x_p[(d7,o20),(d1,o25)]",-0.0
"x_p[(d6,o44),(d7,o38)]",-0.0
"x_p[(d6,o22),(d6,o32)]",-0.0
"x_p[(d2,o42),(d5,o38)]",-0.0
"x_p[(d1,o11),(d4,o2)]",-0.0
"x_p[(d7,o44),(d3,o45)]",-0.0
"x_p[(d3,o21),(d5,o20)]",-0.0
"x_p[(d3,o49),(d4,o44)]",-0.0
"x_p[(d5,o52),(d2,o50)]",-0.0
"x_p[(d1,o19),(d5,o21)]",-0.0
"x_p[(d2,o2),(d7,o12)]",-0.0
"x_p[(d4,o23),(d2,o26)]",-0.0
"x_p[(d3,o16),(d6,o25)]",-0.0
"x_p[(d3,o51),(d7,o47)]",-0.0
"x_p[(d4,o32),(d5,o40)]",-0.0
"x_p[(d1,o36),(d7,o35)]",-0.0
"x_p[(d3,o42),(d7,o42)]",-0.0
"x_p[(d7,o9),(d5,o17)]",-0.0
"x_p[(d4,o23),(d1,o14)]",-0.0
"x_p[(d5,o43),(d4,o41)]",-0.0
